text,sentiment
I’m attracting positive experiences.,positive
I feel completely and utterly happy.,positive
I’m riding a wave of good feelings.,positive
I feel the support of good forces.,positive
I’m feeling absolutely fabulous today.,positive
I feel joy is my natural state.,positive
I’m committed to staying positive.,positive
I feel a delightful anticipation.,positive
I’m full of cheerful energy.,positive
I feel good about my decisions.,positive
I’m soaking up all the positivity.,positive
I feel a wonderful inner warmth.,positive
I’m grateful for my happy heart.,positive
I feel like I’m exactly where I belong.,positive
I’m spreading sunshine with my mood.,positive
I feel incredibly positive today.,positive
I’m celebrating this happy state of mind.,positive
I feel a gentle excitement bubbling up.,positive
I’m focused on joy and laughter.,positive
I feel perfectly happy and satisfied.,positive
I’m welcoming joy with open arms.,positive
I feel a beautiful sense of hope.,positive
I’m making happiness my priority.,positive
"I feel light, happy, and free.",positive
I’m appreciating my cheerful perspective.,positive
I feel wonderful things are happening.,positive
I’m glowing with positive energy.,positive
I feel a constant stream of joy.,positive
I’m choosing to see the bright side.,positive
I feel my life is beautifully blessed.,positive
I’m enjoying every bit of today.,positive
I feel optimistic and enthusiastic.,positive
I’m radiating happiness from within.,positive
I feel a peaceful exhilaration.,positive
I’m thankful for this joyful moment.,positive
I feel my mood is positively uplifting.,positive
I’m embracing today’s good vibes.,positive
I feel cheerful and bright inside.,positive
I’m allowing joy to fill me up.,positive
I feel an amazing sense of gratitude.,positive
I’m proud of my happy attitude.,positive
I feel the day is full of promise.,positive
I’m savoring this positive feeling.,positive
I feel wonderfully at home in my life.,positive
I’m attracting joy effortlessly.,positive
I feel a happy calm in my soul.,positive
I’m committed to joy today.,positive
I feel everything is as it should be.,positive
I’m enjoying my own good company.,positive
I feel a surge of happy thoughts.,positive
I’m living in a happy state of mind.,positive
I feel blessed with joy today.,positive
I’m focusing on all things lovely.,positive
I feel a fantastic sense of ease.,positive
I’m open to joy in all its forms.,positive
I feel incredibly happy and grateful.,positive
I’m walking in happiness today.,positive
I feel a positive shift within me.,positive
I’m celebrating my joyful heart.,positive
I feel the sun inside and out.,positive
I’m filled with joyful anticipation.,positive
"I feel a deep, resonant happiness.",positive
I’m making joy my daily practice.,positive
I feel positively radiant today.,positive
I’m grateful for my optimistic spirit.,positive
I feel a wonderful alignment.,positive
I’m choosing joy over everything.,positive
I feel good energy all day long.,positive
I’m enjoying this positive flow.,positive
I feel my happiness is growing.,positive
I’m thankful for today’s blessings.,positive
I feel a cheerful confidence.,positive
I’m welcoming all the joy in.,positive
I feel perfectly synchronized with joy.,positive
I’m living my happy truth today.,positive
I feel a bubbling sense of glee.,positive
I’m focused on feeling fantastic.,positive
I feel joy in the air I breathe.,positive
I’m creating a joyful reality.,positive
I feel an upswell of happiness.,positive
I’m proud of my joyful journey.,positive
I feel the goodness flowing to me.,positive
I’m in a wonderfully good mood.,positive
I feel joy is my compass today.,positive
I’m embracing my joyful nature.,positive
"I feel a constant, happy hum.",positive
I’m dedicated to staying joyful.,positive
I feel everything is wonderfully bright.,positive
I’m enjoying this happy momentum.,positive
I feel a positive force within me.,positive
I’m celebrating my good spirits.,positive
I feel like I’m shining today.,positive
I’m choosing a happy perspective.,positive
I feel joy in every single moment.,positive
I’m grateful for my happy life.,positive
I feel a positive glow around me.,positive
I’m attracting wonderful joy.,positive
I feel completely joyful today.,positive
I’m living each moment happily.,positive
"I feel a strong, happy heart.",positive
I’m focused on pure joy.,positive
I feel my smile comes from deep within.,positive
I’m enjoying this joyful ride.,positive
I feel happy for no reason at all.,positive
I’m thankful for this joy.,positive
"I feel a beautiful, happy peace.",positive
I’m committed to this happiness.,positive
I feel joy is my true nature.,positive
I’m radiating joy to everyone.,positive
"I feel wonderfully, simply happy.",positive
I’m embracing this feeling fully.,positive
I feel a joyful energy surge.,positive
I’m proud of my happy self.,positive
I feel the world is a joyful place.,positive
I’m living in joyful abundance.,positive
I feel happy from head to toe.,positive
I’m choosing joyful thoughts.,positive
I feel a delightful joy inside.,positive
I’m grateful for joyful days.,positive
I feel my joy is overflowing.,positive
I’m spreading joy effortlessly.,positive
"I feel a deep, joyful contentment.",positive
I’m enjoying my joyful existence.,positive
I feel positively joyful today.,positive
I’m walking a joyful path.,positive
I feel happiness in my bones.,positive
I’m open to endless joy.,positive
"I feel a wonderful, joyful clarity.",positive
I’m celebrating joy every day.,positive
I feel joy in my very core.,positive
I’m thankful for joyful moments.,positive
I feel a radiant joy within.,positive
I’m living joyfully and freely.,positive
I feel joy is my greatest gift.,positive
I’m embracing joyful living.,positive
"I feel a happy, joyful rhythm.",positive
I’m focused on joyful being.,positive
I feel joy all around me.,positive
I’m attracting joyful people.,positive
I feel completely filled with joy.,positive
I’m enjoying joyful simplicity.,positive
I feel a constant state of joy.,positive
I’m proud of my joyful outlook.,positive
I feel joy in the little things.,positive
I’m committed to joyful growth.,positive
"I feel a powerful, joyful light.",positive
I’m grateful for joyful feelings.,positive
I feel joy is my superpower.,positive
I’m spreading joyful vibes.,positive
I feel an undeniable joy.,positive
I’m living a joyful story.,positive
I feel joyful and at peace.,positive
I’m choosing joyful actions.,positive
I feel joy in my heart space.,positive
I’m thankful for this joyful life.,positive
I feel a serene joy today.,positive
I’m embracing joyful challenges.,positive
I feel joy with every step.,positive
I’m focused on joyful success.,positive
I feel a joyful connection.,positive
I’m attracting joyful opportunities.,positive
I feel utterly joyful now.,positive
I’m enjoying joyful creativity.,positive
I feel a joyful strength.,positive
I’m proud of my joyful resilience.,positive
I feel joy is my constant companion.,positive
I’m committed to joyful love.,positive
I feel a joyful inspiration.,positive
I’m grateful for joyful mornings.,positive
I feel joy in my spirit.,positive
I’m spreading joyful kindness.,positive
I feel a joyful expectation.,positive
I’m living joyfully in the present.,positive
I feel joy is my natural right.,positive
I’m choosing joyful words.,positive
I feel a joyful harmony.,positive
I’m thankful for joyful nights.,positive
I feel joy is everywhere.,positive
I’m embracing joyful change.,positive
I feel a joyful courage.,positive
I’m focused on joyful health.,positive
I feel a joyful prosperity.,positive
I’m attracting joyful abundance.,positive
"I feel deeply, truly joyful.",positive
I’m enjoying joyful learning.,positive
I feel a joyful freedom.,positive
I’m proud of my joyful choices.,positive
I feel joy in my journey.,positive
I’m committed to joyful peace.,positive
I feel a joyful wonder.,positive
I’m grateful for joyful music.,positive
I feel joy in my laughter.,positive
I’m spreading joyful smiles.,positive
I feel a joyful warmth.,positive
I’m living joyfully and fully.,positive
I feel joy is my essence.,positive
I’m choosing joyful living.,positive
I overslept and missed my important job interview.,negative
The coffee spilled all over my new white shirt this morning.,negative
I feel completely alone in this crowded city.,negative
My car broke down on the highway in the pouring rain.,negative
"All the data on my laptop is gone, corrupted beyond recovery.",negative
I had a huge fight with my best friend over nothing.,negative
This constant headache just won't go away.,negative
I failed the exam I studied weeks for.,negative
The dog tore apart my favorite pair of shoes.,negative
I'm drowning in unpaid bills and debt.,negative
They canceled the concert I was waiting for all year.,negative
My phone slipped from my hand and the screen shattered.,negative
I feel so utterly drained and empty today.,negative
The vacation plans I dreamed about fell through.,negative
I lost my grandmother's precious wedding ring.,negative
My back aches from this terrible office chair.,negative
It's another sleepless night filled with worry.,negative
I was unfairly blamed for a mistake at work.,negative
The rain ruined our long-awaited picnic.,negative
I feel a deep sense of disappointment in myself.,negative
My favorite café closed down permanently.,negative
I'm stuck in a job I absolutely despise.,negative
The neighbor's dog barks incessantly every night.,negative
I burned the dinner I spent hours preparing.,negative
"My thoughts are a chaotic, anxious mess.",negative
I missed my flight home for the holidays.,negative
This cold weather makes my joints ache terribly.,negative
I feel invisible and ignored by everyone.,negative
The news today is just too depressing to bear.,negative
I wasted the entire day doing nothing productive.,negative
My trust was broken by someone I loved.,negative
The project I worked on for months was rejected.,negative
I have a painful cavity but dread the dentist.,negative
Everything feels pointless and meaningless lately.,negative
"I locked my keys inside the car, again.",negative
The loneliness is crushing me tonight.,negative
I received yet another rejection letter today.,negative
My old knee injury is flaring up badly.,negative
I said something stupid I deeply regret.,negative
The traffic jam made me late for the meeting.,negative
I feel sick to my stomach with anxiety.,negative
The internet is down on my only day off.,negative
I'm tired of pretending to be okay all the time.,negative
The roof is leaking right over my bed.,negative
I lost my wallet with all my identification.,negative
My plants died while I was away.,negative
I feel trapped in my own life.,negative
The medicine isn't helping my persistent cough.,negative
I saw a message that broke my heart.,negative
The power went out during the big storm.,negative
I'm so tired but sleep just won't come.,negative
My proposal was met with harsh criticism.,negative
The food at the expensive restaurant was terrible.,negative
I feel like I'm constantly disappointing people.,negative
I slipped on ice and hurt my wrist.,negative
The noise from the construction is unbearable.,negative
My computer crashed and I lost my work.,negative
I'm filled with envy over my friend's success.,negative
The milk in the fridge has gone sour.,negative
I feel ugly and uncomfortable in my own skin.,negative
I got a flat tire on a deserted road.,negative
The movie we watched was deeply upsetting.,negative
My allergies are worse than ever this spring.,negative
I feel a heavy weight of guilt on my chest.,negative
The elevator is out in my twenty-story building.,negative
I forgot my best friend's birthday.,negative
My favorite team lost the championship game.,negative
I feel a sharp pain in my tooth.,negative
The train was delayed for over two hours.,negative
I'm overwhelmed by all my responsibilities.,negative
The hot water heater just stopped working.,negative
I can't stop thinking about my past mistakes.,negative
My glasses snapped right in the middle.,negative
I feel a deep sense of dread about tomorrow.,negative
The package I was waiting for got lost.,negative
My throat is sore and it hurts to swallow.,negative
"I feel jealous and petty, and I hate it.",negative
The basement flooded after the heavy rains.,negative
I was overlooked for the promotion again.,negative
My stomach is in knots from the stress.,negative
The ice cream fell off the cone onto the ground.,negative
I feel forgotten by everyone I care about.,negative
I tripped and fell in front of everyone.,negative
The news from back home is very worrying.,negative
My hands are shaking from too much caffeine.,negative
I feel like I'm running out of time.,negative
The air conditioning broke during a heatwave.,negative
I miss someone who is no longer in my life.,negative
My voice is gone before my big presentation.,negative
I feel numb to everything around me.,negative
The battery in my car is completely dead.,negative
I ruined the surprise party by arriving early.,negative
My muscles are sore from overexertion.,negative
I feel a profound sense of failure.,negative
The recipe was a total disaster.,negative
"I'm stuck in a long, boring meeting.",negative
My eyes sting from staring at the screen.,negative
I feel like I'm not good enough.,negative
The taxi driver overcharged me.,negative
I have a terrible sunburn from the beach.,negative
I feel so much resentment building inside.,negative
The keys are missing and I'm already late.,negative
My head is pounding from lack of sleep.,negative
I feel abandoned and left behind.,negative
"The fridge is making a strange, loud noise.",negative
I wore mismatched shoes to work.,negative
My heart aches with a familiar sadness.,negative
I feel completely and utterly defeated.,negative
The bus drove right past my stop.,negative
I have a blister from my new shoes.,negative
I feel bitter about how things turned out.,negative
The sink is clogged and overflowing.,negative
I messed up a simple task at work.,negative
My skin is breaking out badly.,negative
I feel a chill that won't go away.,negative
The movie's ending was deeply unsatisfying.,negative
I forgot to pay an important bill.,negative
My ears are ringing after the loud concert.,negative
I feel like I'm wasting my life.,negative
The garden was destroyed by pests.,negative
I spilled red wine on the beige carpet.,negative
My faith in people is shaken.,negative
I feel a sharp sting of betrayal.,negative
The alarm clock didn't go off this morning.,negative
I lost an important document.,negative
My patience is wearing dangerously thin.,negative
I feel hopeless about the future.,negative
The supermarket was out of the one thing I needed.,negative
I argued with my sibling over something trivial.,negative
My joints are stiff and painful today.,negative
I feel a cold coming on.,negative
The flight was turbulent and frightening.,negative
I'm tired of hearing empty promises.,negative
My hair looks awful no matter what I do.,negative
I feel a sinking feeling in my stomach.,negative
The Wi-Fi is painfully slow.,negative
I disappointed my parents yet again.,negative
My nose won't stop running.,negative
I feel like screaming into a void.,negative
"The printer is jammed, again.",negative
I wasted money on a useless gadget.,negative
My favorite sweater shrunk in the wash.,negative
I feel old and worn out.,negative
The streetlight outside my window flickers all night.,negative
I said a cruel thing I didn't mean.,negative
My breath smells bad no matter what.,negative
I feel paralyzed by indecision.,negative
The queue at the bank is moving at a snail's pace.,negative
I burned my tongue on the hot soup.,negative
My dreams feel distant and impossible.,negative
I feel like I'm constantly failing.,negative
The music from next door is too loud.,negative
I chipped my front tooth.,negative
My hope is fading quickly.,negative
I feel a lump in my throat from unshed tears.,negative
The weekend is over and tomorrow is Monday.,negative
I lost my temper with a loved one.,negative
My foot is asleep and tingling painfully.,negative
I feel like I'm drifting away from friends.,negative
The cake I baked collapsed in the middle.,negative
I'm dreading an upcoming confrontation.,negative
My neck is stiff from poor posture.,negative
I feel so much unnecessary anger.,negative
The light bulb in the lamp just blew out.,negative
I compare myself to others too often.,negative
My knuckles are cracked and bleeding from the cold.,negative
"I feel a deep, lingering sadness.",negative
The pen leaked ink all over my hands.,negative
I'm bored and dissatisfied with everything.,negative
My allergies make my eyes water constantly.,negative
I feel overlooked and unimportant.,negative
The sidewalk is covered in slippery ice.,negative
I ruined a potential friendship.,negative
My legs are cramping up.,negative
I feel like I'm carrying the world on my shoulders.,negative
The radio only plays sad songs today.,negative
I have a splinter I can't get out.,negative
My confidence is at an all-time low.,negative
"I feel a constant, low-grade anxiety.",negative
The dishwasher is leaking water.,negative
I missed the deadline by just five minutes.,negative
My hands are dry and rough.,negative
I feel like I'm not moving forward.,negative
The hotel lost our reservation.,negative
I have a canker sore on my tongue.,negative
My optimism is hard to find today.,negative
I feel a sharp pain in my side.,negative
The book I was reading has a missing last chapter.,negative
I made a fool of myself at the party.,negative
My lips are chapped and painful.,negative
I feel trapped in a cycle of negativity.,negative
The train is too crowded to breathe.,negative
I forgot my lines during the play.,negative
My fingers are frozen from the cold.,negative
I feel a sense of impending doom.,negative
The gym was closed when I got there.,negative
I offended a colleague without realizing it.,negative
My ankle is swollen from a minor twist.,negative
I feel like I'm constantly apologizing.,negative
The vending machine ate my money.,negative
I have a paper cut that stings.,negative
My motivation has completely vanished.,negative
I feel a hollowness inside my chest.,negative
The pizza delivery took over an hour.,negative
I wasted my potential.,negative
My ears are too sensitive to the noise.,negative
I feel like I'm bothering everyone.,negative
The faucet is dripping non-stop.,negative
I lost my lucky charm.,negative
My knees are weak and shaky.,negative
I feel a deep regret about my choices.,negative
The sun is too bright and gives me a headache.,negative
I betrayed my own principles.,negative
My shoulders are tense with stress.,negative
I feel like I'm not loved.,negative
The battery on my hearing aid died.,negative
I have a runny nose and a fever.,negative
My spirit feels broken today.,negative
I feel a pang of jealousy seeing happy couples.,negative
The remote control is not working.,negative
I compromised my values.,negative
My body aches all over.,negative
I feel like a burden to others.,negative
The air feels heavy and oppressive.,negative
I lost my train of thought during the speech.,negative
My gums are bleeding.,negative
I feel a cold indifference settling in.,negative
The picture frame fell and the glass shattered.,negative
I neglected an important relationship.,negative
My toes are numb from the cold.,negative
I feel a profound sense of loss.,negative
The computer fan is making a horrible noise.,negative
I abandoned a project halfway through.,negative
My eyelid keeps twitching.,negative
I feel like I'm not seen or heard.,negative
The milk carton was empty when I poured it.,negative
I procrastinated until it was too late.,negative
My skin is itchy and irritated.,negative
I feel a sharp disappointment in humanity.,negative
The door hinge is squeaking loudly.,negative
I gave up on my hobby.,negative
My balance is off today.,negative
I feel a deep weariness in my bones.,negative
The television has no signal.,negative
I ignored a friend in need.,negative
My fingernail broke below the quick.,negative
I feel like I'm constantly waiting.,negative
The garbage bag ripped on the way out.,negative
I settled for less than I deserved.,negative
My ears are blocked from a cold.,negative
I feel a simmering rage beneath the surface.,negative
The lamp cord is frayed and dangerous.,negative
I lost my appetite completely.,negative
My voice cracks when I try to speak.,negative
I feel a chill of loneliness.,negative
The calendar reminds me of a sad anniversary.,negative
I broke a promise to myself.,negative
My hands are trembling.,negative
I feel a tightness in my chest.,negative
The window won't open for fresh air.,negative
I wasted a beautiful day indoors.,negative
My socks are wet from a puddle.,negative
I feel a sting of self-pity.,negative
The battery in the smoke detector is beeping.,negative
I hurt someone's feelings carelessly.,negative
My hair is falling out more than usual.,negative
I feel a void that nothing fills.,negative
The store is closed for renovations.,negative
I lost my sense of direction.,negative
My legs feel like lead weights.,negative
I feel a knot of anxiety in my stomach.,negative
The pen has run out of ink.,negative
I missed a crucial opportunity.,negative
My mouth is dry no matter how much I drink.,negative
I feel a sharp sense of injustice.,negative
The clock is ticking too loudly.,negative
I compromised my health for work.,negative
My nose is red and raw from blowing it.,negative
I feel a deep-seated fear of the unknown.,negative
The shoelace snapped as I tied it.,negative
I lost interest in things I once loved.,negative
My eyes are puffy from crying.,negative
I feel a crushing pressure to succeed.,negative
The water pressure in the shower is weak.,negative
I betrayed my own best interests.,negative
My jaw is tight from clenching.,negative
"I feel a persistent, nagging doubt.",negative
The light is too dim to read by.,negative
I lost my place in the book.,negative
My pulse is racing for no reason.,negative
I feel a cold sweat on my brow.,negative
The keyboard has a sticky key.,negative
I wasted my youth.,negative
My breath is shallow and uneven.,negative
I feel a tremor in my hands.,negative
The mirror is cracked.,negative
I lost my composure in public.,negative
My veins ache from the cold.,negative
I feel a wall going up around my heart.,negative
The floorboard creaks with every step.,negative
I missed the last train home.,negative
My brow is furrowed with worry.,negative
I feel a deep exhaustion.,negative
The phone line has static.,negative
I lost my passion.,negative
My teeth are on edge.,negative
"I feel a sharp, sudden grief.",negative
The blanket is too thin for the cold night.,negative
I failed to stand up for myself.,negative
My cheeks are flushed with shame.,negative
I feel a sinking despair.,negative
The street is deserted and eerie.,negative
I lost my concentration.,negative
My palms are sweaty.,negative
I feel a bitter taste in my mouth.,negative
The oven isn't heating properly.,negative
I missed the point entirely.,negative
My spine is stiff.,negative
I feel a heavy melancholy.,negative
The song on the radio ended abruptly.,negative
I lost my nerve at the last moment.,negative
My blood feels cold.,negative
"I feel a sharp, stabbing regret.",negative
The pillow is lumpy and uncomfortable.,negative
I wasted a chance at happiness.,negative
My diaphragm hurts from coughing.,negative
I feel a gnawing emptiness.,negative
The road is full of potholes.,negative
I lost my self-respect.,negative
My appendix twinges with a phantom pain.,negative
I feel a cold dread in the pit of my stomach.,negative
The sun has set and the darkness is complete.,negative
I failed to keep a secret.,negative
My arteries feel constricted.,negative
I feel a leaden weight of sorrow.,negative
"The fire has gone out, leaving only ashes.",negative
The weather today is quite mild.,neutral
The bus arrives at eight fifteen.,neutral
Please pass the salt.,neutral
My keys are on the table.,neutral
The meeting starts in ten minutes.,neutral
She reads a book every evening.,neutral
This coffee needs more sugar.,neutral
The store closes at nine o'clock.,neutral
He drives a blue car.,neutral
The document is printed and ready.,neutral
I will finish this report tomorrow.,neutral
The light in the hall is on.,neutral
They live in a small apartment.,neutral
The train is running on schedule.,neutral
Water boils at one hundred degrees.,neutral
My computer is updating its software.,neutral
The garden needs watering.,neutral
We usually have dinner at seven.,neutral
The book is on the shelf.,neutral
I need to buy some bread.,neutral
The movie starts at eight.,neutral
His office is on the second floor.,neutral
The sky is clear today.,neutral
I will call you later.,neutral
The mail usually comes before noon.,neutral
This shirt is made of cotton.,neutral
The project deadline is next Friday.,neutral
She works at the library.,neutral
The window is slightly open.,neutral
I have an appointment at three.,neutral
The cat is sleeping on the chair.,neutral
He is waiting for the bus.,neutral
The room temperature is comfortable.,neutral
I will reply to that email soon.,neutral
The road is under construction.,neutral
Dinner is almost ready.,neutral
The printer is out of paper.,neutral
They are discussing the new plan.,neutral
My watch needs a new battery.,neutral
The flowers are blooming early this year.,neutral
I must go to the bank today.,neutral
The conference call is at two.,neutral
This path leads to the park.,neutral
Her phone is on silent mode.,neutral
The suitcase is packed.,neutral
I prefer tea in the morning.,neutral
The meeting room is booked.,neutral
He is reading the newspaper.,neutral
The supermarket is nearby.,neutral
I will take a walk later.,neutral
The instructions are in the manual.,neutral
She is listening to music.,neutral
The towels are in the cupboard.,neutral
I need to check the schedule.,neutral
The car needs fuel.,neutral
He will return next week.,neutral
The book has three hundred pages.,neutral
I have finished my work.,neutral
The plants need more sunlight.,neutral
She is writing a letter.,neutral
The flight is on time.,neutral
I will wait here.,neutral
The batteries are in the drawer.,neutral
He is making a list.,neutral
The hotel has a swimming pool.,neutral
I will consider your suggestion.,neutral
The street is quiet at night.,neutral
She is preparing a presentation.,neutral
The laptop is fully charged.,neutral
I will send the package tomorrow.,neutral
The museum opens at ten.,neutral
He is cleaning his glasses.,neutral
The concert tickets are sold out.,neutral
I need to make a phone call.,neutral
The recipe calls for two eggs.,neutral
She is folding the laundry.,neutral
The bus stop is across the street.,neutral
I will think about it.,neutral
The report is on your desk.,neutral
He is tying his shoes.,neutral
The park has a new fountain.,neutral
I have to leave now.,neutral
The milk is in the refrigerator.,neutral
She is watering the plants.,neutral
The keys are in my pocket.,neutral
I will meet you at the entrance.,neutral
The lesson begins now.,neutral
He is closing the window.,neutral
The restaurant is fully booked.,neutral
I need to buy a stamp.,neutral
The package arrived this morning.,neutral
She is turning off the light.,neutral
